filename,gelling_agent,gelling_pct,sucrose_pct,replicate,n_plants,n_roots,unit,resolution,software,last_modified
Gradient_0.5%A_0%S_1.rsml,agar,0.5,0.0,1,10,10,pixel,1,RootNav,2017-11-27T09:24:32
Gradient_0.5%A_0%S_2.rsml,agar,0.5,0.0,2,8,8,pixel,1,RootNav,2017-11-27T09:24:32
Gradient_0.5%A_0%S_3.rsml,agar,0.5,0.0,3,9,9,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%A_0.3%S_1.rsml,agar,0.5,0.3,1,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%A_0.3%S_2.rsml,agar,0.5,0.3,2,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%A_0.3%S_3.rsml,agar,0.5,0.3,3,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%A_0.3%S_4.rsml,agar,0.5,0.3,4,8,8,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%A_1%S_1.rsml,agar,0.5,1.0,1,9,9,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%A_1%S_2.rsml,agar,0.5,1.0,2,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%A_1%S_3.rsml,agar,0.5,1.0,3,6,6,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%P_0%S_1.rsml,phytogel,0.5,0.0,1,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%P_0%S_2.rsml,phytogel,0.5,0.0,2,7,7,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%P_0%S_3.rsml,phytogel,0.5,0.0,3,8,8,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%P_0.3%S_1.rsml,phytogel,0.5,0.3,1,9,9,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%P_0.3%S_2.rsml,phytogel,0.5,0.3,2,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%P_0.3%S_3.rsml,phytogel,0.5,0.3,3,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%P_0.3%S_4.rsml,phytogel,0.5,0.3,4,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%P_1%S_1.rsml,phytogel,0.5,1.0,1,9,9,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_0.5%P_1%S_2.rsml,phytogel,0.5,1.0,2,12,12,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%A_0%S_1.rsml,agar,1.0,0.0,1,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%A_0%S_2.rsml,agar,1.0,0.0,2,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%A_0%S_3.rsml,agar,1.0,0.0,3,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%A_0.3%S_1.rsml,agar,1.0,0.3,1,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%A_0.3%S_2.rsml,agar,1.0,0.3,2,9,9,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%A_0.3%S_3.rsml,agar,1.0,0.3,3,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%A_1%S_1.rsml,agar,1.0,1.0,1,11,11,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%A_1%S_2.rsml,agar,1.0,1.0,2,10,10,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%A_1%S_3.rsml,agar,1.0,1.0,3,8,8,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%P_0%S_1.rsml,phytogel,1.0,0.0,1,9,9,pixel,1,RootNav,2017-11-27T09:24:33
Gradient_1%P_0%S_2.rsml,phytogel,1.0,0.0,2,10,10,pixel,1,RootNav,2017-11-27T09:24:33
