file,group
LSDS-56_morphometric-photography_F_F2-2.JPG,flight
LSDS-56_morphometric-photography_F_F3-2.JPG,flight
LSDS-56_morphometric-photography_F_F4-2.JPG,flight
LSDS-56_morphometric-photography_G_F2-2.JPG,ground
LSDS-56_morphometric-photography_G_F3-2.JPG,ground
LSDS-56_morphometric-photography_G_F4-2.JPG,ground
OSD-121_sup_F_E1-2.JPG,flight
OSD-121_sup_F_E2-2.JPG,flight
OSD-121_sup_F_E3-2.JPG,flight
OSD-121_sup_F_E4-2.JPG,flight
OSD-121_sup_F_E5-2.JPG,flight
OSD-121_sup_F_F1-2.JPG,flight
OSD-121_sup_F_F5-2.JPG,flight
OSD-121_sup_F_H3-2.JPG,flight
OSD-121_sup_F_H4-2.JPG,flight
OSD-121_sup_F_H5-2.JPG,flight
OSD-121_sup_G_E1-2.JPG,ground
OSD-121_sup_G_E2-2.JPG,ground
OSD-121_sup_G_E3-2.JPG,ground
OSD-121_sup_G_E4-2.JPG,ground
OSD-121_sup_G_E5-2.JPG,ground
OSD-121_sup_G_F1-2.JPG,ground
OSD-121_sup_G_F5-2.JPG,ground
OSD-121_sup_G_H3-2.JPG,ground
OSD-121_sup_G_H4-2.JPG,ground
OSD-121_sup_G_H5-2.JPG,ground
