filename,species,tissue,condition,day,sample,source_path
TICTOC_FL_d3_A68_a12_001.jpg,Gossypium (cotton),root,Flight,day 3,A68_a12,Data/Cotton FL day 3 crop grey tif 300dpi_inverted/A68_a12_FL_3_cotton_clarity_enhanced_300dpi.tif
TICTOC_FL_d3_A68_b4_002.jpg,Gossypium (cotton),root,Flight,day 3,A68_b4,Data/Cotton FL day 3 crop grey tif 300dpi_inverted/A68_b4_FL_3_iss065e092616_clarity_enhanced_300dpi.tif
TICTOC_FL_d3_D10_003.jpg,Gossypium (cotton),root,Flight,day 3,D10,Data/Cotton FL day 3 crop grey tif 300dpi_inverted/D10_WT_FL_3_iss065e092568.tif
TICTOC_FL_d3_D130_a7_004.jpg,Gossypium (cotton),root,Flight,day 3,D130_a7,Data/Cotton FL day 3 crop grey tif 300dpi_inverted/D130_a7_FL_3_iss065e092589_clarity_enhanced_300dpi.tif
TICTOC_FL_d3_D130_d11_005.jpg,Gossypium (cotton),root,Flight,day 3,D130_d11,Data/Cotton FL day 3 crop grey tif 300dpi_inverted/D130_d11_FL_3_iss065e092561_clarity_enhanced_300dpi.tif
TICTOC_FL_d3_WT_006.jpg,Gossypium (cotton),root,Flight,day 3,WT,Data/Cotton FL day 3 crop grey tif 300dpi_inverted/WT_a9_FL_3_iss065e092570_clarity_enhanced_300dpi.tif
TICTOC_FL_d3_WT_007.jpg,Gossypium (cotton),root,Flight,day 3,WT,Data/Cotton FL day 3 crop grey tif 300dpi_inverted/WT_b5_FL_3_iss065e092609_clarity_enhanced_300dpi.tif
TICTOC_FL_d3_WT_008.jpg,Gossypium (cotton),root,Flight,day 3,WT,Data/Cotton FL day 3 crop grey tif 300dpi_inverted/WT_c3_FL_3_iss065e092627_clarity_enhanced_300dpi.tif
TICTOC_FL_d4_A68_a12_009.jpg,Gossypium (cotton),root,Flight,day 4,A68_a12,Data/Cotton FL day 4 crop grey tif 300dpi_inverted/A68_a12_FL_4_549E3888_clarity_enhanced_300dpi.tif
TICTOC_FL_d4_A68_b8_010.jpg,Gossypium (cotton),root,Flight,day 4,A68_b8,Data/Cotton FL day 4 crop grey tif 300dpi_inverted/A68_b8_FL_4_549E3931_clarity_enhanced_300dpi.tif
TICTOC_FL_d4_D130_a11_011.jpg,Gossypium (cotton),root,Flight,day 4,D130_a11,Data/Cotton FL day 4 crop grey tif 300dpi_inverted/D130_a11_FL_4_549E3900_clarity_enhanced_300dpi.tif
TICTOC_FL_d4_D130_a7_012.jpg,Gossypium (cotton),root,Flight,day 4,D130_a7,Data/Cotton FL day 4 crop grey tif 300dpi_inverted/D130_a7_FL_4_549E3937_clarity_enhanced_300dpi.tif
TICTOC_FL_d4_D130_c11_013.jpg,Gossypium (cotton),root,Flight,day 4,D130_c11,Data/Cotton FL day 4 crop grey tif 300dpi_inverted/D130_c11_FL_4_549E3896_clarity_enhanced_300dpi_merged.tif
TICTOC_FL_d4_WT_014.jpg,Gossypium (cotton),root,Flight,day 4,WT,Data/Cotton FL day 4 crop grey tif 300dpi_inverted/WT_a10_FL_4_549E3909_clarity_enhanced_300dpi.tif
TICTOC_FL_d4_WT_015.jpg,Gossypium (cotton),root,Flight,day 4,WT,Data/Cotton FL day 4 crop grey tif 300dpi_inverted/WT_a9_FL_4_549E3919_clarity_enhanced_300dpi.tif
TICTOC_FL_d4_WT_016.jpg,Gossypium (cotton),root,Flight,day 4,WT,Data/Cotton FL day 4 crop grey tif 300dpi_inverted/WT_b3_FL_4_549E3980_clarity_enhanced_300dpi.tif
TICTOC_FL_d5_A68_a12_017.jpg,Gossypium (cotton),root,Flight,day 5,A68_a12,Data/Cotton FL day5 crop grey tif 300dpi_inverted/A68_a12_FL_5_iss065e094201_clarity_enhanced_300dpi.tif
TICTOC_FL_d5_A68_b4_018.jpg,Gossypium (cotton),root,Flight,day 5,A68_b4,Data/Cotton FL day5 crop grey tif 300dpi_inverted/A68_b4_FL_5_iss065e094277_clarity_enhanced_300dpi_merged.tif
TICTOC_FL_d5_D130_a11_019.jpg,Gossypium (cotton),root,Flight,day 5,D130_a11,Data/Cotton FL day5 crop grey tif 300dpi_inverted/D130_a11_FL_5_iss065e094210_clarity_enhanced_300dpi.tif
TICTOC_FL_d5_D130_b11_020.jpg,Gossypium (cotton),root,Flight,day 5,D130_b11,Data/Cotton FL day5 crop grey tif 300dpi_inverted/D130_b11_FL_5_iss065e094212_clarity_enhanced_300dpi.tif
TICTOC_FL_d5_WT_021.jpg,Gossypium (cotton),root,Flight,day 5,WT,Data/Cotton FL day5 crop grey tif 300dpi_inverted/WT_a10_FL_5_iss065e094219_clarity_enhanced_300dpi.tif
TICTOC_FL_d5_WT_022.jpg,Gossypium (cotton),root,Flight,day 5,WT,Data/Cotton FL day5 crop grey tif 300dpi_inverted/WT_b10_FL_5_iss065e094221_clarity_enhanced_300dpi.tif
TICTOC_FL_d5_WT_023.jpg,Gossypium (cotton),root,Flight,day 5,WT,Data/Cotton FL day5 crop grey tif 300dpi_inverted/WT_c10_FL_5_iss065e094223_clarity_enhanced_300dpi.tif
TICTOC_FL_d5_WT_024.jpg,Gossypium (cotton),root,Flight,day 5,WT,Data/Cotton FL day5 crop grey tif 300dpi_inverted/WT_d10_FL_5_iss065e094225_clarity_enhanced_300dpi.tif
TICTOC_FL_d6_A68_a12_025.jpg,Gossypium (cotton),root,Flight,day 6,A68_a12,Data/Cotton FL day6 crop grey tif 300dpi_inverted/A68_a12_FL_6_iss065e096178_clarity_enhanced.tif
TICTOC_FL_d6_A68_b4_026.jpg,Gossypium (cotton),root,Flight,day 6,A68_b4,Data/Cotton FL day6 crop grey tif 300dpi_inverted/A68_b4_FL_6_around_corner_iss065e096260_clarity_enhanced_merged.tif
TICTOC_FL_d6_A68_d12_027.jpg,Gossypium (cotton),root,Flight,day 6,A68_d12,Data/Cotton FL day6 crop grey tif 300dpi_inverted/A68_d12_FL_6_iss065e096184_clarity_enhanced.tif
TICTOC_FL_d6_D130_a6_028.jpg,Gossypium (cotton),root,Flight,day 6,D130_a6,Data/Cotton FL day6 crop grey tif 300dpi_inverted/D130_a6_FL_6_continued_around_iss065e096238_clarity_enhanced_merged.tif
TICTOC_FL_d6_D130_b11_029.jpg,Gossypium (cotton),root,Flight,day 6,D130_b11,Data/Cotton FL day6 crop grey tif 300dpi_inverted/D130_b11_FL_6_iss065e096193_clarity_enhanced.tif
TICTOC_FL_d6_D130_d11_030.jpg,Gossypium (cotton),root,Flight,day 6,D130_d11,Data/Cotton FL day6 crop grey tif 300dpi_inverted/D130_d11_FL_6_iss065e096199_clarity_enhanced_merged.tif
TICTOC_FL_d6_WT_031.jpg,Gossypium (cotton),root,Flight,day 6,WT,Data/Cotton FL day6 crop grey tif 300dpi_inverted/WT_a3_FL_6_iss065e096264_clarity_enhanced.tif
TICTOC_FL_d6_WT_032.jpg,Gossypium (cotton),root,Flight,day 6,WT,Data/Cotton FL day6 crop grey tif 300dpi_inverted/WT_b10_FL_6_iss065e096202_clarity_enhanced.tif
TICTOC_GC_d3_A68_a4_033.jpg,Gossypium (cotton),root,Ground control,day 3,A68_a4,Data/Cotton GC day 3 crop grey 300dpi_inverted/A68_a4_GC_3_DSC_0406_clarity_enhanced_300dpi.tif
TICTOC_GC_d3_A68_d8_034.jpg,Gossypium (cotton),root,Ground control,day 3,A68_d8,Data/Cotton GC day 3 crop grey 300dpi_inverted/A68_d8_GC_3_DSC_0380_clarity_enhanced_300dpi.tif
TICTOC_GC_d3_D130_b11_035.jpg,Gossypium (cotton),root,Ground control,day 3,D130_b11,Data/Cotton GC day 3 crop grey 300dpi_inverted/D130_b11_GC_3_DSC_0352_clarity_enhanced_300dpi.tif
TICTOC_GC_d3_D130_c11_036.jpg,Gossypium (cotton),root,Ground control,day 3,D130_c11,Data/Cotton GC day 3 crop grey 300dpi_inverted/D130_c11_GC_3_DSC_0353_clarity_enhanced_300dpi.tif
TICTOC_GC_d3_D130_d6_037.jpg,Gossypium (cotton),root,Ground control,day 3,D130_d6,Data/Cotton GC day 3 crop grey 300dpi_inverted/D130_d6_GC_3_DSC_0395_clarity_enhanced_300dpi.tif
TICTOC_GC_d3_WT_038.jpg,Gossypium (cotton),root,Ground control,day 3,WT,Data/Cotton GC day 3 crop grey 300dpi_inverted/WT_a3_GC_3_DSC_0415_clarity_enhanced_300dpi.tif
TICTOC_GC_d3_WT_039.jpg,Gossypium (cotton),root,Ground control,day 3,WT,Data/Cotton GC day 3 crop grey 300dpi_inverted/WT_b3_GC_3_DSC_0416_clarity_enhanced_300dpi.tif
TICTOC_GC_d3_WT_040.jpg,Gossypium (cotton),root,Ground control,day 3,WT,Data/Cotton GC day 3 crop grey 300dpi_inverted/WT_c3_GC_3_DSC_0419_clarity_enhanced_300dpi.tif
TICTOC_GC_d4_A68_a4_041.jpg,Gossypium (cotton),root,Ground control,day 4,A68_a4,Data/Cotton GC day 4 crop grey 300dpi_inverted/A68_a4_GC_4_DSC_0505_clarity_enhanced_300dpi.tif
TICTOC_GC_d4_A68_c2_042.jpg,Gossypium (cotton),root,Ground control,day 4,A68_c2,Data/Cotton GC day 4 crop grey 300dpi_inverted/A68_c2_GC_4_DSC_0526_clarity_enhanced_300dpi.tif
TICTOC_GC_d4_D130_a11_043.jpg,Gossypium (cotton),root,Ground control,day 4,D130_a11,Data/Cotton GC day 4 crop grey 300dpi_inverted/D130_a11_GC_4_DSC_0448_clarity_enhanced_300dpi.tif
TICTOC_GC_d4_D130_b1_044.jpg,Gossypium (cotton),root,Ground control,day 4,D130_b1,Data/Cotton GC day 4 crop grey 300dpi_inverted/D130_b1_GC_4_DSC_0531_clarity_enhanced_300dpi.tif
TICTOC_GC_d4_D130_c6_045.jpg,Gossypium (cotton),root,Ground control,day 4,D130_c6,Data/Cotton GC day 4 crop grey 300dpi_inverted/D130_c6_GC_4_DSC_0494_clarity_enhanced_300dpi.tif
TICTOC_GC_d4_D130_d1_046.jpg,Gossypium (cotton),root,Ground control,day 4,D130_d1,Data/Cotton GC day 4 crop grey 300dpi_inverted/D130_d1_GC_4_DSC_0536_clarity_enhanced_300dpi.tif
TICTOC_GC_d4_WT_047.jpg,Gossypium (cotton),root,Ground control,day 4,WT,Data/Cotton GC day 4 crop grey 300dpi_inverted/WT_a10_GC_4_DSC_0457_clarity_enhanced_300dpi.tif
TICTOC_GC_d4_WT_048.jpg,Gossypium (cotton),root,Ground control,day 4,WT,Data/Cotton GC day 4 crop grey 300dpi_inverted/WT_b3_GC_4_DSC_0515_clarity_enhanced_300dpi.tif
TICTOC_GC_d5_A68_a4_049.jpg,Gossypium (cotton),root,Ground control,day 5,A68_a4,Data/Cotton GC day 5 crop grey 300dpi_inverted/A68_a4_GC_5_DSC_0611.tif
TICTOC_GC_d5_A68_c2_050.jpg,Gossypium (cotton),root,Ground control,day 5,A68_c2,Data/Cotton GC day 5 crop grey 300dpi_inverted/A68_c2_GC_5_DSC_0630_clarity_enhanced_300dpi.tif
TICTOC_GC_d5_D130_a11_051.jpg,Gossypium (cotton),root,Ground control,day 5,D130_a11,Data/Cotton GC day 5 crop grey 300dpi_inverted/D130_a11_GC_5_DSC_0554_clarity_enhanced_300dpi.tif
TICTOC_GC_d5_D130_b1_052.jpg,Gossypium (cotton),root,Ground control,day 5,D130_b1,Data/Cotton GC day 5 crop grey 300dpi_inverted/D130_b1_GC_5_DSC_0637_clarity_enhanced_300dpi.tif
TICTOC_GC_d5_D130_c6_053.jpg,Gossypium (cotton),root,Ground control,day 5,D130_c6,Data/Cotton GC day 5 crop grey 300dpi_inverted/D130_c6_GC_5_.tif
TICTOC_GC_d5_D130_d1_054.jpg,Gossypium (cotton),root,Ground control,day 5,D130_d1,Data/Cotton GC day 5 crop grey 300dpi_inverted/D130_d1_GC_5_DSC_0642_clarity_enhanced_300dpi.tif
TICTOC_GC_d5_WT_055.jpg,Gossypium (cotton),root,Ground control,day 5,WT,Data/Cotton GC day 5 crop grey 300dpi_inverted/WT_a10_GC_5_DSC_0561_clarity_enhanced_300dpi.tif
TICTOC_GC_d5_WT_056.jpg,Gossypium (cotton),root,Ground control,day 5,WT,Data/Cotton GC day 5 crop grey 300dpi_inverted/WT_a9_GC_5_DSC_0569_clarity_enhanced_300dpi.tif
TICTOC_GC_d6_A68_057.jpg,Gossypium (cotton),root,Ground control,day 6,A68,Data/Cotton GC day 6 crop grey 300dpi _inverted/A68_2C_GC_6_DSC_0730_clarity_enhanced_300dpi.tif
TICTOC_GC_d6_A68_b12_058.jpg,Gossypium (cotton),root,Ground control,day 6,A68_b12,Data/Cotton GC day 6 crop grey 300dpi _inverted/A68_b12_GC_6.tif
TICTOC_GC_d6_D130_a11_059.jpg,Gossypium (cotton),root,Ground control,day 6,D130_a11,Data/Cotton GC day 6 crop grey 300dpi _inverted/D130_a11_GC_6.tif
TICTOC_GC_d6_D130_b6_060.jpg,Gossypium (cotton),root,Ground control,day 6,D130_b6,Data/Cotton GC day 6 crop grey 300dpi _inverted/D130_b6_GC_6_DSC_0696_clarity_enhanced_300dpi.tif
TICTOC_GC_d6_D130_c7_061.jpg,Gossypium (cotton),root,Ground control,day 6,D130_c7,Data/Cotton GC day 6 crop grey 300dpi _inverted/D130_c7_GC_6_DSC_0690_clarity_enhanced_300dpi.tif
TICTOC_GC_d6_D130_d6_062.jpg,Gossypium (cotton),root,Ground control,day 6,D130_d6,Data/Cotton GC day 6 crop grey 300dpi _inverted/D130_d6_GC_6_DSC_0700_clarity_enhanced_300dpi.tif
TICTOC_GC_d6_WT_063.jpg,Gossypium (cotton),root,Ground control,day 6,WT,Data/Cotton GC day 6 crop grey 300dpi _inverted/WT_a3_GC_6_DSC_0718_clarity_enhanced_300dpi.tif
TICTOC_GC_d6_WT_064.jpg,Gossypium (cotton),root,Ground control,day 6,WT,Data/Cotton GC day 6 crop grey 300dpi _inverted/WT_b3_GC_6_DSC_0720_clarity_enhanced_300dpi.tif
