filename,species,condition,day,genotype,processing,source_path
APEX05_001_FL_cax2-2_2day.jpg,Arabidopsis thaliana,Flight,day 2,cax2-2,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A10_cax22_FL_aligned/2day.jpg
APEX05_002_FL_cax2-2_3day.jpg,Arabidopsis thaliana,Flight,day 3,cax2-2,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A10_cax22_FL_aligned/3day.jpg
APEX05_003_FL_cax2-2_4day.jpg,Arabidopsis thaliana,Flight,day 4,cax2-2,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A10_cax22_FL_aligned/4day.jpg
APEX05_004_FL_cax2-2_5day.jpg,Arabidopsis thaliana,Flight,day 5,cax2-2,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A10_cax22_FL_aligned/5day.jpg
APEX05_005_FL_cax2-2_6day.jpg,Arabidopsis thaliana,Flight,day 6,cax2-2,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A10_cax22_FL_aligned/6day.jpg
APEX05_006_FL_cax2-2_7day.jpg,Arabidopsis thaliana,Flight,day 7,cax2-2,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A10_cax22_FL_aligned/7day.jpg
APEX05_007_FL_cax2-2_8day.jpg,Arabidopsis thaliana,Flight,day 8,cax2-2,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A10_cax22_FL_aligned/8day.jpg
APEX05_008_FL_Col-0_2day.jpg,Arabidopsis thaliana,Flight,day 2,Col-0,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A1_Col_FL_aligned/2day.jpg
APEX05_009_FL_Col-0_3day.jpg,Arabidopsis thaliana,Flight,day 3,Col-0,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A1_Col_FL_aligned/3day.jpg
APEX05_010_FL_Col-0_4day.jpg,Arabidopsis thaliana,Flight,day 4,Col-0,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A1_Col_FL_aligned/4day.jpg
APEX05_011_FL_Col-0_5day.jpg,Arabidopsis thaliana,Flight,day 5,Col-0,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A1_Col_FL_aligned/5day.jpg
APEX05_012_FL_Col-0_6day.jpg,Arabidopsis thaliana,Flight,day 6,Col-0,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A1_Col_FL_aligned/6day.jpg
APEX05_013_FL_Col-0_7day.jpg,Arabidopsis thaliana,Flight,day 7,Col-0,aligned+cropped,/APEX5_images/Time-Lapse_Corners/Cropped_selected_FL/FL_Aligned_2/A1_Col_FL_aligned/7day.jpg
