filename,species,genotype,tissue,condition,light,day,rep,osdr_source
OSD-121_GC_F4-2_001.jpg,Arabidopsis thaliana,,seedling,Ground control,,,,LSDS-56_morphometric-photography_G_F4-2.JPG
OSD-121_GC_F3-2_002.jpg,Arabidopsis thaliana,,seedling,Ground control,,,,LSDS-56_morphometric-photography_G_F3-2.JPG
OSD-121_GC_F2-2_003.jpg,Arabidopsis thaliana,,seedling,Ground control,,,,LSDS-56_morphometric-photography_G_F2-2.JPG
OSD-121_FL_F4-2_004.jpg,Arabidopsis thaliana,,seedling,Flight,,,,LSDS-56_morphometric-photography_F_F4-2.JPG
OSD-121_FL_F3-2_005.jpg,Arabidopsis thaliana,,seedling,Flight,,,,LSDS-56_morphometric-photography_F_F3-2.JPG
OSD-121_FL_F2-2_006.jpg,Arabidopsis thaliana,,seedling,Flight,,,,LSDS-56_morphometric-photography_F_F2-2.JPG
OSD-121_GC_OSD-121_sup_G_H5-2.JPG_007.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_G_H5-2.JPG
OSD-121_GC_OSD-121_sup_G_H4-2.JPG_008.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_G_H4-2.JPG
OSD-121_GC_OSD-121_sup_G_H3-2.JPG_009.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_G_H3-2.JPG
OSD-121_GC_OSD-121_sup_G_F5-2.JPG_010.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_G_F5-2.JPG
OSD-121_GC_OSD-121_sup_G_F1-2.JPG_011.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_G_F1-2.JPG
OSD-121_GC_OSD-121_sup_G_E5-2.JPG_012.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_G_E5-2.JPG
OSD-121_GC_OSD-121_sup_G_E4-2.JPG_013.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_G_E4-2.JPG
OSD-121_GC_OSD-121_sup_G_E3-2.JPG_014.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_G_E3-2.JPG
OSD-121_GC_OSD-121_sup_G_E2-2.JPG_015.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_G_E2-2.JPG
OSD-121_GC_OSD-121_sup_G_E1-2.JPG_016.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_G_E1-2.JPG
OSD-121_GC_OSD-121_sup_F_H5-2.JPG_017.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_F_H5-2.JPG
OSD-121_GC_OSD-121_sup_F_H4-2.JPG_018.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_F_H4-2.JPG
OSD-121_GC_OSD-121_sup_F_H3-2.JPG_019.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_F_H3-2.JPG
OSD-121_GC_OSD-121_sup_F_F5-2.JPG_020.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_F_F5-2.JPG
OSD-121_GC_OSD-121_sup_F_F1-2.JPG_021.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_F_F1-2.JPG
OSD-121_GC_OSD-121_sup_F_E5-2.JPG_022.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_F_E5-2.JPG
OSD-121_GC_OSD-121_sup_F_E4-2.JPG_023.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_F_E4-2.JPG
OSD-121_GC_OSD-121_sup_F_E3-2.JPG_024.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_F_E3-2.JPG
OSD-121_GC_OSD-121_sup_F_E2-2.JPG_025.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_F_E2-2.JPG
OSD-121_GC_OSD-121_sup_F_E1-2.JPG_026.jpg,Arabidopsis thaliana,,seedling,,,,,OSD-121_sup_F_E1-2.JPG
